date,time_start,time_end,open,high,low,close,volume,change,change_percent
2024-09-21,05:00,04:59,2536.5,2633.3,2534.27,2597.55,1474287.5150000001,61.05000000000018,2.4068598462448327
2024-09-22,05:00,04:59,2597.55,2686.5,2522.57,2663.0,2683828.962,65.44999999999982,2.5196820080460363
2024-09-23,05:00,04:59,2663.0,2702.0,2607.74,2621.77,2495560.185,-41.23000000000002,-1.548253849042434
2024-09-24,05:00,04:59,2621.78,2673.06,2590.1,2624.05,2613240.607,2.269999999999982,0.08658239821800387
2024-09-25,05:00,04:59,2624.05,2631.17,2552.44,2595.44,2202337.5769999996,-28.610000000000127,-1.0902993464301414
2024-09-26,05:00,04:59,2595.44,2666.17,2591.8,2644.56,2452755.0420000004,49.11999999999989,1.8925500107881472
2024-09-27,05:00,04:59,2644.56,2727.66,2635.3,2691.7,2268630.224,47.13999999999987,1.7825271500741096
2024-09-28,05:00,04:59,2691.71,2693.55,2648.32,2669.58,1366636.662,-22.13000000000011,-0.8221539467476107
2024-09-29,05:00,04:59,2669.58,2673.45,2601.0,2627.16,1898196.307,-42.42000000000007,-1.5890140022025965
2024-09-30,05:00,04:59,2627.16,2646.57,2572.82,2643.78,2644869.633,16.620000000000346,0.632622299365107
2024-10-01,05:00,04:59,2643.78,2658.63,2412.4,2485.48,4630500.665,-158.30000000000018,-5.987638910953263
2024-10-02,05:00,04:59,2485.49,2492.13,2350.0,2396.4,3566215.3850000002,-89.08999999999969,-3.5844038801202056
2024-10-03,05:00,04:59,2396.4,2398.0,2308.09,2372.99,3194058.7520000003,-23.41000000000031,-0.9768819896511562
2024-10-04,05:00,04:59,2372.99,2440.0,2351.18,2404.44,2355695.781,31.450000000000273,1.325332175862531
2024-10-05,05:00,04:59,2404.45,2427.0,2389.01,2414.26,967508.2279999999,9.8100000000004,0.4079935120297948
2024-10-06,05:00,04:59,2414.25,2512.5,2410.57,2486.74,1788680.767,72.48999999999978,3.002588795692235
2024-10-07,05:00,04:59,2486.74,2520.25,2401.08,2436.59,2905239.585,-50.149999999999636,-2.0166965585465166
2024-10-08,05:00,04:59,2436.59,2472.9,2400.01,2444.0,2408679.935,7.4099999999998545,0.30411353571999616
2024-10-09,05:00,04:59,2444.0,2471.64,2350.0,2393.88,2643814.611,-50.11999999999989,-2.0507364975450035
2024-10-10,05:00,04:59,2393.89,2421.5,2329.44,2407.97,2899393.11,14.079999999999927,0.5881640342705775
2024-10-11,05:00,04:59,2407.97,2470.0,2401.45,2444.47,2152812.6689999998,36.5,1.515799615443714
2024-10-12,05:00,04:59,2444.47,2489.95,2441.42,2462.3,1126765.682,17.830000000000382,0.7294014653483325
2024-10-13,05:00,04:59,2462.3,2547.99,2435.0,2541.48,1929138.7779999997,79.17999999999984,3.215692645087919
2024-10-14,05:00,04:59,2541.48,2653.44,2509.28,2613.98,3170786.3770000003,72.5,2.8526685238522433
2024-10-15,05:00,04:59,2613.99,2688.76,2536.64,2613.24,3894856.673,-0.75,-0.028691770052678093
2024-10-16,05:00,04:59,2613.24,2647.9,2590.3,2627.24,2160030.5810000002,14.0,0.5357334190506804
2024-10-17,05:00,04:59,2627.24,2651.05,2573.73,2614.72,2175189.96,-12.519999999999982,-0.4765457285973106
2024-10-18,05:00,04:59,2614.73,2675.12,2611.39,2639.57,2038318.4239999999,24.840000000000146,0.9500024859163335
2024-10-19,05:00,04:59,2639.57,2654.85,2630.05,2641.1,707247.872,1.5299999999997453,0.057963986558407066
2024-10-20,05:00,04:59,2641.1,2770.0,2637.26,2739.33,2304503.3959999997,98.23000000000002,3.7192836318200757
2024-10-21,05:00,04:59,2739.33,2746.12,2613.77,2641.0,2488889.594,-98.32999999999993,-3.589563871457617
2024-10-22,05:00,04:59,2641.0,2659.59,2600.1,2616.9,1921228.205,-24.09999999999991,-0.9125331313896217
2024-10-23,05:00,04:59,2616.9,2624.44,2443.01,2552.68,3336788.4179999996,-64.22000000000025,-2.45404868355689
2024-10-24,05:00,04:59,2552.68,2561.83,2488.0,2491.68,2011867.338,-61.0,-2.3896453922935894
2024-10-25,05:00,04:59,2491.68,2565.94,2380.63,2459.3,4044746.077,-32.379999999999654,-1.2995248185962747
2024-10-26,05:00,04:59,2459.3,2507.1,2441.68,2478.94,1309344.79,19.639999999999873,0.7986012279916996
2024-10-27,05:00,04:59,2478.94,2527.25,2462.86,2485.59,1257734.571,6.650000000000091,0.26825982072983173
2024-10-28,05:00,04:59,2485.59,2631.78,2473.32,2621.23,3239205.433,135.63999999999987,5.457054461918493
2024-10-29,05:00,04:59,2621.22,2681.83,2599.9,2641.28,2767894.751,20.0600000000004,0.7652924973867283
2024-10-30,05:00,04:59,2641.28,2724.65,2634.03,2646.73,3365162.5039999997,5.449999999999818,0.2063393506178753
2024-10-31,05:00,04:59,2646.73,2654.37,2467.3,2513.58,3587294.925,-133.1500000000001,-5.0307360403214565
2024-11-01,05:00,04:59,2513.59,2587.86,2481.44,2504.93,2901490.649,-8.66000000000031,-0.3445271504103815
2024-11-02,05:00,04:59,2504.93,2513.79,2420.63,2454.97,1787759.9329999997,-49.960000000000036,-1.9944669112510145
2024-11-03,05:00,04:59,2454.96,2491.0,2410.35,2472.56,2550738.895,17.59999999999991,0.7169159578974773
2024-11-04,05:00,04:59,2472.55,2485.55,2356.0,2428.11,2773979.899,-44.440000000000055,-1.7973347353946352
2024-11-05,05:00,04:59,2428.11,2637.32,2400.23,2583.6,4109067.113,155.48999999999978,6.403746123528167
2024-11-06,05:00,04:59,2583.6,2882.56,2560.56,2841.2,5961718.869000001,257.5999999999999,9.970583681684468
2024-11-07,05:00,04:59,2841.19,2956.99,2772.38,2902.54,4295258.617000001,61.34999999999991,2.1593064877744856
2024-11-08,05:00,04:59,2902.54,2996.0,2890.04,2972.18,3623687.614,69.63999999999987,2.399277873862199
2024-11-09,05:00,04:59,2972.17,3191.86,2969.0,3183.58,3967196.038,211.40999999999985,7.112984788891613
2024-11-10,05:00,04:59,3183.57,3252.28,3073.86,3182.32,5355662.453,-1.25,-0.03926409659595988
2024-11-11,05:00,04:59,3182.31,3392.06,3107.15,3330.37,7047827.661,148.05999999999995,4.652595127438872
2024-11-12,05:00,04:59,3330.38,3449.0,3151.32,3192.39,6640426.627,-137.99000000000024,-4.143371026729689
2024-11-13,05:00,04:59,3192.4,3335.0,3120.0,3238.24,5449772.564,45.83999999999969,1.4359102869314526
2024-11-14,05:00,04:59,3238.25,3241.64,3016.11,3027.49,4139578.7499999995,-210.76000000000022,-6.508453640083385
2024-11-15,05:00,04:59,3027.48,3167.2,3016.5,3135.53,3346327.653,108.05000000000018,3.568974856976766
2024-11-16,05:00,04:59,3135.54,3222.69,3035.0,3128.36,2897545.177,-7.179999999999836,-0.22898767038531917
2024-11-17,05:00,04:59,3128.35,3164.8,3043.38,3103.23,2602337.601,-25.11999999999989,-0.8029792062908528
2024-11-18,05:00,04:59,3103.22,3228.0,3051.5,3132.11,4349916.005,28.890000000000327,0.9309684779036076
2024-11-19,05:00,04:59,3132.12,3152.53,3066.4,3100.4,2844354.054,-31.7199999999998,-1.0127325900667854
2024-11-20,05:00,04:59,3100.41,3162.25,3030.5,3132.32,3607800.6610000003,31.91000000000031,1.0292187162343145
